Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Precious Achiuwa,Knicks,"JAN 03, 2024",NYK vs. CHI,W,11,2,2,100.0%,0,0,0.0%,0,0,0.0%,2,1,3,1,0,1,0,2,4,-16
Precious Achiuwa,Knicks,"JAN 01, 2024",NYK vs. MIN,W,9,0,2,0.0%,0,0,0.0%,0,0,0.0%,1,2,3,0,0,0,0,2,0,-3
Precious Achiuwa,Knicks,"DEC 29, 2023",TOR @ BOS,L,2,0,1,0.0%,0,0,0.0%,0,0,0.0%,0,2,2,0,0,0,0,0,0,1
Precious Achiuwa,Knicks,"DEC 27, 2023",TOR @ WAS,W,11,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,1,1,0,1,1,1,0,3,5
Precious Achiuwa,Knicks,"DEC 23, 2023",TOR vs. UTA,L,21,3,7,42.9%,0,3,0.0%,2,2,100.0%,1,1,2,1,0,2,0,1,8,-3
Precious Achiuwa,Knicks,"DEC 22, 2023",TOR @ PHI,L,16,2,9,22.2%,0,2,0.0%,0,2,0.0%,3,3,6,1,2,0,1,2,4,-1
Precious Achiuwa,Knicks,"DEC 20, 2023",TOR vs. DEN,L,25,6,10,60.0%,1,2,50.0%,0,1,0.0%,4,1,5,1,1,1,1,2,13,6
Precious Achiuwa,Knicks,"DEC 18, 2023",TOR vs. CHA,W,18,5,9,55.6%,0,1,0.0%,2,4,50.0%,5,2,7,1,1,0,0,1,12,12
Precious Achiuwa,Knicks,"DEC 15, 2023",TOR vs. ATL,L,17,4,7,57.1%,0,2,0.0%,1,2,50.0%,0,2,2,5,0,0,0,1,9,-9
Precious Achiuwa,Knicks,"DEC 13, 2023",TOR vs. ATL,W,17,2,5,40.0%,1,3,33.3%,2,2,100.0%,1,6,7,1,1,2,2,0,7,-5
Precious Achiuwa,Knicks,"DEC 11, 2023",TOR @ NYK,L,21,3,8,37.5%,1,4,25.0%,2,2,100.0%,0,5,5,3,1,0,1,4,9,-1
Precious Achiuwa,Knicks,"DEC 08, 2023",TOR @ CHA,L,22,7,10,70.0%,3,4,75.0%,0,0,0.0%,4,6,10,1,0,0,4,4,17,5
Precious Achiuwa,Knicks,"DEC 06, 2023",TOR vs. MIA,L,13,4,7,57.1%,1,3,33.3%,0,0,0.0%,0,3,3,2,1,0,1,0,9,-4
Precious Achiuwa,Knicks,"DEC 01, 2023",TOR vs. NYK,L,17,4,11,36.4%,0,1,0.0%,0,0,0.0%,5,1,6,1,0,0,1,2,8,-22
